瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2),乞闭 傈款樊(1/10),乞闭 瘤搁柯档(∑C)
156,堡林,2021-01-01,-.6,0,.9,83.1,9,7.3,2.7
156,堡林,2021-01-02,-.3,.5,1.7,67.8,12.54,3.8,2.1
156,堡林,2021-01-03,-.6,,2.1,54.6,10.37,7.3,.5
156,堡林,2021-01-04,1.2,,.7,71.8,10.07,3.1,1.9
156,堡林,2021-01-05,-.2,0,1.9,64.9,7.74,8,1.5
156,堡林,2021-01-06,-2.4,1.2,1.7,65.9,10.95,7.5,.8
156,堡林,2021-01-07,-8.4,2,2.3,69.1,5.16,8.6,.8
156,堡林,2021-01-08,-9.9,,2.5,55.8,12.15,2.8,.6
156,堡林,2021-01-09,-7.6,0,1.9,52.6,13.02,1.9,.1
156,堡林,2021-01-10,-5.1,0,.8,74.3,9.5,4.4,-.1
156,堡林,2021-01-11,-2.1,,.7,78.6,5.82,8.1,0
156,堡林,2021-01-12,-.5,0,.8,80.4,10.78,5.5,.1
156,堡林,2021-01-13,4.3,,1.2,77.5,11.74,3.4,.6
156,堡林,2021-01-14,6.6,,.8,76.8,12.16,.1,4.3
156,堡林,2021-01-15,7.9,,1.7,83.9,7.46,8,5.9
156,堡林,2021-01-16,.3,,2.5,60.9,7.43,8.3,2.4
156,堡林,2021-01-17,-1.5,0,1.9,60.4,13.86,4.6,1.8
156,堡林,2021-01-18,.6,4,1.7,77.1,5.69,8,.5
156,堡林,2021-01-19,-1.3,,1.7,46,14.39,0,1.6
156,堡林,2021-01-20,3.2,,.7,51.1,13.68,2.6,2.3
156,堡林,2021-01-21,7.6,6.8,.8,81.4,5.47,8.3,5.1
156,堡林,2021-01-22,9.4,2.9,.4,97.9,4.14,9.9,8.6
156,堡林,2021-01-23,9.3,4,2.2,96.8,3.29,10,8.3
156,堡林,2021-01-24,8.8,,1.6,70.5,12.93,3.6,7.5
156,堡林,2021-01-25,8.8,,.9,66.8,13.75,5.1,7.4
156,堡林,2021-01-26,6.5,8.7,1.6,90.6,3.79,9.8,7.2
156,堡林,2021-01-27,5.1,,2.4,41.8,14.25,4.9,5.2
156,堡林,2021-01-28,.7,1,1.6,71.8,6.84,7.9,2.7
156,堡林,2021-01-29,-3.2,0,1.6,63.8,15.34,2.5,3.4
156,堡林,2021-01-30,1.8,.1,.8,74,9.81,4.6,2.8
156,堡林,2021-01-31,6.2,1.8,1.4,77.6,11.52,6,4.8
156,堡林,2021-02-01,8.3,11.6,1.7,90.6,4.36,9.1,8
156,堡林,2021-02-02,-1,,2.3,45.6,16.45,.6,2.7
156,堡林,2021-02-03,.3,0,1.5,50.3,16.03,2,3.3
156,堡林,2021-02-04,1.6,1.1,1.3,49.1,16.67,1.3,4.1
156,堡林,2021-02-05,2.8,,1,41,11.02,6.1,3
156,堡林,2021-02-06,5.7,,.9,71.4,6.55,6.9,4.2
156,堡林,2021-02-07,7.4,,1.1,65.8,14.14,4,7.2
156,堡林,2021-02-08,.3,,1.9,44.8,17.29,0,3.3
156,堡林,2021-02-09,1.7,,1.4,40.1,17.32,0,3.4
156,堡林,2021-02-10,4,,.8,58.1,15.93,2,4.4
156,堡林,2021-02-11,6.4,,1,63.6,10.21,8.5,5
156,堡林,2021-02-12,9.3,,.7,47,15.04,6.1,7.7
156,堡林,2021-02-13,10.6,,.7,41,16.83,.8,7.4
156,堡林,2021-02-14,10.9,0,.6,55.1,7.98,9.1,9.3
156,堡林,2021-02-15,3.9,.6,1.8,65.9,7.26,8.9,6.7
156,堡林,2021-02-16,.4,.9,2.2,60.5,13.96,4.5,3.6
156,堡林,2021-02-17,-4.5,1.5,1.6,83.4,6.82,9.6,1.7
156,堡林,2021-02-18,-2.2,.2,1.7,69.1,9.52,8.6,2.5
156,堡林,2021-02-19,3.8,,1.4,65.4,18.39,1.1,5.1
156,堡林,2021-02-20,10.6,,1.9,74.8,16.01,0,7.8
156,堡林,2021-02-21,13,,2.1,65,17.9,0,10
156,堡林,2021-02-22,10.5,,1.3,62.1,16.61,0,9.9
156,堡林,2021-02-23,3.6,,1.6,38.5,16.24,2.8,5.4
156,堡林,2021-02-24,3.9,,.5,42,5.49,7,4.2
156,堡林,2021-02-25,4.7,14.8,2.3,86.1,2.83,9.6,4.4
156,堡林,2021-02-26,9.7,0,3.4,59.1,15.45,8.3,8.5
156,堡林,2021-02-27,9.4,,2.7,46,17.92,6.3,8.8
156,堡林,2021-02-28,8.9,.4,1.3,70.9,6.06,9.8,8.3
156,堡林,2021-03-01,11.5,39.7,2.7,95.9,3.51,9.4,11.1
156,堡林,2021-03-02,4.7,,1.7,74.8,15.61,5.1,8
156,堡林,2021-03-03,6.2,,1,64.9,18.39,4.5,7.3
156,堡林,2021-03-04,6.9,8.9,1.8,85.8,5.31,9.5,7.6
156,堡林,2021-03-05,10.7,,1.1,71.5,19.82,3.8,10.9
156,堡林,2021-03-06,10.4,,1.5,67.6,14.83,7,11.1
156,堡林,2021-03-07,8.7,,1.1,69.9,12.78,7.6,11
156,堡林,2021-03-08,8.6,,1.5,66.1,19.79,4.6,11.5
156,堡林,2021-03-09,8.6,,1.1,48.6,18.48,5.5,11.6
156,堡林,2021-03-10,10.6,,1.5,45.1,20.71,0,11.2
156,堡林,2021-03-11,11.8,1.6,.9,58.5,17.85,7.9,13.4
156,堡林,2021-03-12,9.2,16.2,2.5,93.9,6.05,8,10.6
156,堡林,2021-03-13,9.6,,1,74.8,20.62,.6,11.3
156,堡林,2021-03-14,9.8,,1.1,67.5,20.73,.4,11.2
156,堡林,2021-03-15,12.3,2.4,1.5,69.3,17.43,5.8,13
156,堡林,2021-03-16,11.3,3.5,1.1,64.8,21.36,3.8,14.1
156,堡林,2021-03-17,9.7,,1.2,53.6,21.09,1.8,10.8
156,堡林,2021-03-18,11.7,,1.1,62.4,21.93,2.1,13.2
156,堡林,2021-03-19,13.9,,1.2,60.3,18.9,7.4,15.8
156,堡林,2021-03-20,9.7,11.1,1.5,94.6,3.75,10,11.9
156,堡林,2021-03-21,6.8,,2.2,63,17.19,8.8,10.3
156,堡林,2021-03-22,7.5,,1.9,47.8,23.98,1.3,10.1
156,堡林,2021-03-23,10.1,,2,61.4,22.66,0,12.5
156,堡林,2021-03-24,11.8,,1.3,56.3,15.14,5.4,12
156,堡林,2021-03-25,13.3,,.9,59.9,23.73,.3,16
156,堡林,2021-03-26,14.8,,1.5,46.9,21.84,3.6,16
156,堡林,2021-03-27,14.7,38.5,2.3,83.6,4.23,9.4,13
156,堡林,2021-03-28,12.4,.5,2.7,85.6,13.85,6.8,15.7
156,堡林,2021-03-29,13.1,,1.5,53,18.87,5.1,14.8
156,堡林,2021-03-30,14,,1.6,33,22.3,2.8,14.9
156,堡林,2021-03-31,15.3,,.9,43.6,21.86,5.4,16.8
156,堡林,2021-04-01,16.7,,2.5,36.6,15.06,8.1,17.3
156,堡林,2021-04-02,18.7,0,1.7,44.3,13.43,8,19.2
156,堡林,2021-04-03,16.8,11.6,2.5,87.8,3.49,10,16.3
156,堡林,2021-04-04,11,3.3,1,97.9,3.6,9.6,13.5
156,堡林,2021-04-05,12.4,,1.1,56.3,26.75,0,14.9
156,堡林,2021-04-06,12.4,,.8,52.4,22.13,2.8,14.4
156,堡林,2021-04-07,14.1,,.9,44,26.05,1,17.3
156,堡林,2021-04-08,12.9,,1.1,40.9,26.36,2.5,17.8
156,堡林,2021-04-09,13.3,,1.2,41,24.85,2.6,18.3
156,堡林,2021-04-10,13.6,,1,54.9,23.83,2.1,18
156,堡林,2021-04-11,15.6,,1.4,38.9,26,2.4,20.3
156,堡林,2021-04-12,13.9,16.9,1.9,78.3,4.33,10,14.2
156,堡林,2021-04-13,10,.3,1.9,76.4,17.96,6.1,15
156,堡林,2021-04-14,9.4,,2,41.3,27.8,2,13.2
156,堡林,2021-04-15,11.8,,1.6,36.6,24.84,3.4,14.2
156,堡林,2021-04-16,13.1,0,.8,67.5,10.87,9,13.6
156,堡林,2021-04-17,11.3,,1.7,55.6,25.17,2.8,17.3
156,堡林,2021-04-18,11,,1.6,49.4,27.94,.9,17.1
156,堡林,2021-04-19,12.8,,.8,53.4,28.14,.4,18.3
156,堡林,2021-04-20,15.9,,.9,48.9,27,1.9,20.4
156,堡林,2021-04-21,19.2,,1.1,37.9,19.37,8.1,20.6
156,堡林,2021-04-22,19.7,,1,36.5,10.47,9.5,19.5
156,堡林,2021-04-23,21.3,,2.2,28.4,21.81,7.6,22.9
156,堡林,2021-04-24,19.1,,1.2,33.5,26.14,5.5,23.9
156,堡林,2021-04-25,17.8,,1.3,51.1,22.24,3.1,23.4
156,堡林,2021-04-26,16.5,,1.3,50.6,26.52,4.8,23.8
156,堡林,2021-04-27,16.6,0,1.4,53.8,15.23,8.6,21.6
156,堡林,2021-04-28,17.9,,1.2,53.8,21.43,8.3,23.8
156,堡林,2021-04-29,17.4,1.8,2,47.5,26.41,6.1,25
156,堡林,2021-04-30,14.7,.3,2.3,59.8,27.07,6.1,21.8
156,堡林,2021-05-01,10.6,12.8,1,78.8,11.22,7.6,14.3
156,堡林,2021-05-02,12.3,,.8,69.5,20.18,3.9,15.2
156,堡林,2021-05-03,15.6,,1.3,61.9,28.3,2.9,20.3
156,堡林,2021-05-04,17.4,13.6,2.4,87.1,7.68,9.8,18.1
156,堡林,2021-05-05,15,0,1.1,57.1,29.19,2.9,19
156,堡林,2021-05-06,16,,1.3,43.6,22.42,6.1,18.1
156,堡林,2021-05-07,16.3,,1.9,49.9,14.29,4.8,16.8
156,堡林,2021-05-08,16.2,,2.1,58.9,27,3.3,21.2
156,堡林,2021-05-09,17.5,,1,43.8,29.04,1.6,23.1
156,堡林,2021-05-10,18.3,0,1.6,39.8,11.37,9.5,20.3
156,堡林,2021-05-11,19.4,,1.6,55.8,13.85,9.3,22.3
156,堡林,2021-05-12,22.2,,1.9,48.5,23.31,4.9,24.8
156,堡林,2021-05-13,22.5,,1.2,62.8,27.09,2.8,28
156,堡林,2021-05-14,23,0,1.5,66.8,20.85,8.5,27
156,堡林,2021-05-15,21.6,30.2,1.3,96.1,6.27,10,22.2
156,堡林,2021-05-16,20.8,59.6,2.3,99,5.31,10,22.4
156,堡林,2021-05-17,15.9,1.4,1.3,98.1,6.29,8.4,18.8
156,堡林,2021-05-18,18.1,,.8,82.1,20.51,7.5,21.2
156,堡林,2021-05-19,21.2,,1,63.3,26.71,6.4,23.6
156,堡林,2021-05-20,16.5,11.2,1.5,93.4,5.17,9.9,18.5
156,堡林,2021-05-21,16.4,.2,2.1,82.1,19.07,6.5,19.3
156,堡林,2021-05-22,19.3,,.9,67.3,29.55,1.5,22.8
156,堡林,2021-05-23,22,0,.9,66.4,25.99,5.9,25.6
156,堡林,2021-05-24,19.9,.4,1.1,68.9,25.07,5,24.2
156,堡林,2021-05-25,17.6,0,1.5,62.1,24.88,5.4,22.5
156,堡林,2021-05-26,18.3,,2,59.8,15.72,10,21.1
156,堡林,2021-05-27,16.8,0,1.2,84.9,14.99,5.9,21.5
156,堡林,2021-05-28,17.9,10,2,80.6,19.25,4.1,21.4
156,堡林,2021-05-29,19.4,,1,68.8,29.2,1.1,24.6
156,堡林,2021-05-30,22.1,0,1.5,49.1,29.57,2.4,30.7
156,堡林,2021-05-31,23.7,,1.2,43,28.51,3,32.9
156,堡林,2021-06-01,23.5,,.9,51.3,27.42,4,29.2
156,堡林,2021-06-02,23.4,,1.4,61,21.53,6.6,28.1
156,堡林,2021-06-03,19.8,22.7,.9,92.6,5.13,9.5,20.2
156,堡林,2021-06-04,20,1.4,1,67.1,29.77,4.6,26.5
156,堡林,2021-06-05,20.9,,2.1,81.1,22.66,2.9,24.8
156,堡林,2021-06-06,22.8,0,2,61.6,25.15,1.6,27.2
156,堡林,2021-06-07,24.1,,.9,56.3,25.55,4.1,28.3
156,堡林,2021-06-08,25.5,,1,57.5,28.42,3.8,32.1
156,堡林,2021-06-09,26,,1.2,61.5,28.61,3.3,32.2
156,堡林,2021-06-10,23.6,9.7,2,70.8,11.99,9.3,25.5
156,堡林,2021-06-11,24.3,27.4,1.1,84.4,23.36,7,28.9
156,堡林,2021-06-12,25.1,,1.1,83.4,21.84,7.4,30.8
156,堡林,2021-06-13,23.9,,1.2,83.8,25.61,6,30.6
156,堡林,2021-06-14,23.4,,1.5,82.3,20.03,7.5,28.3
156,堡林,2021-06-15,20.9,21.2,2.3,93.8,5.95,9.6,22.3
156,堡林,2021-06-16,23.4,,2.9,76.9,24.6,7.1,29.4
156,堡林,2021-06-17,22.4,.9,.6,82.9,10.65,8.6,24.8
156,堡林,2021-06-18,21.3,4.1,.7,97.4,,9.6,23.3
156,堡林,2021-06-19,23.1,,.6,80,24.58,4.6,28.5
156,堡林,2021-06-20,24,,1.4,64.8,27.47,5.8,28.1
156,堡林,2021-06-21,25.1,,1.1,55.4,30.89,1.9,31
156,堡林,2021-06-22,24.3,,1.5,70,25.03,3.6,29.1
156,堡林,2021-06-23,23,.2,2,81.1,15.77,6.8,26.2
156,堡林,2021-06-24,23,0,1.1,79.6,16.34,7.1,29.5
156,堡林,2021-06-25,23.4,6.4,.9,81.1,18.37,6.8,26
156,堡林,2021-06-26,23.9,.3,1.2,79.3,17.02,8.1,27.4
156,堡林,2021-06-27,24.7,.9,.9,76.4,19.62,5.1,29.2
156,堡林,2021-06-28,22.8,18.8,.8,91.3,15.34,5.4,24.9
156,堡林,2021-06-29,23.2,1.1,.8,88.3,18.5,6.9,27
156,堡林,2021-06-30,23.9,3,.9,84.6,16.01,7,26.5
156,堡林,2021-07-01,25.7,,1,77.6,23.86,4.8,28.2
156,堡林,2021-07-02,26.1,0,1,81.8,17.21,7.1,28.6
156,堡林,2021-07-03,23.7,27,1.6,93.9,5.56,9,24.8
156,堡林,2021-07-04,23.1,1.6,3,96.6,8.93,9.6,25
156,堡林,2021-07-05,21.9,29.1,1.1,98.6,5.21,10,23.6
156,堡林,2021-07-06,23.1,119.5,.9,99,3.27,10,23.6
156,堡林,2021-07-07,25.2,17.9,1.7,99,7,10,26
156,堡林,2021-07-08,25.6,.9,1.3,96.9,11.66,9.5,27.5
156,堡林,2021-07-09,25.8,4.2,1.4,94.4,17.77,7.5,28.3
156,堡林,2021-07-10,26.4,,2.2,90.9,19.24,5.6,28.9
156,堡林,2021-07-11,27.2,0,1.6,90.5,17.66,6.1,31.1
156,堡林,2021-07-12,28.1,,1.8,87.5,21.16,6.5,32.5
156,堡林,2021-07-13,28.4,,2.6,81.5,22.3,5.6,33.6
156,堡林,2021-07-14,28.2,,2.3,84.8,16.15,7.9,33.8
156,堡林,2021-07-15,28.7,,1.6,78.4,26.02,6,36.1
156,堡林,2021-07-16,25.9,1.4,1.2,92.5,18,5.4,30.1
156,堡林,2021-07-17,26.2,.2,1.5,82.1,23.31,5.6,29.8
156,堡林,2021-07-18,27.3,,1.3,77.8,22.12,5.9,36.3
156,堡林,2021-07-19,27.8,,1.2,78.4,20.79,6,35.7
156,堡林,2021-07-20,27.7,0,.9,81.5,17.52,7.5,32.3
156,堡林,2021-07-21,29,,1.3,74.6,26.22,3.8,36.8
156,堡林,2021-07-22,28.7,,1.8,70.5,23.56,4.8,35
156,堡林,2021-07-23,28.7,,1.3,70.9,22.38,6.8,33.4
156,堡林,2021-07-24,29.1,,1.4,68.3,22.86,7.9,35.9
156,堡林,2021-07-25,29,,1.8,61.5,22.94,6.6,35.9
156,堡林,2021-07-26,28.3,,1.6,67.3,20.25,5.1,34.4
156,堡林,2021-07-27,28.3,,1.4,67.9,19.96,1.8,32.8
156,堡林,2021-07-28,28.9,,1.4,71.9,19.15,4.4,34.3
156,堡林,2021-07-29,29,,1.6,72.9,20.75,4.9,39.2
156,堡林,2021-07-30,28.1,.4,1.7,77.5,20.07,6.3,32.6
156,堡林,2021-07-31,29.1,25.4,.9,80.1,23.36,6.3,33.3
156,堡林,2021-08-01,28.2,1,1.3,86.3,16.19,8.6,31.3
156,堡林,2021-08-02,26.9,45.3,.8,96.1,12.71,9.3,30.7
156,堡林,2021-08-03,27,9.9,1.2,90.5,17.07,7,29.9
156,堡林,2021-08-04,28.6,0,1,79.5,23.1,3.4,30.9
156,堡林,2021-08-05,28.8,,.7,79.3,18.02,4.1,30.9
156,堡林,2021-08-06,26.6,59.4,1.5,85,24.15,3.8,30.1
156,堡林,2021-08-07,27.8,,1,79.1,25.37,4.8,30
156,堡林,2021-08-08,26,5,.8,91,10.24,7.6,28.6
156,堡林,2021-08-09,27.2,,1,81.3,25.99,5,30.9
156,堡林,2021-08-10,27.6,,1.4,80.6,20.12,7,31.5
156,堡林,2021-08-11,26.5,0,1.7,83.1,17.82,5.3,27.8
156,堡林,2021-08-12,26.3,.6,1,84.8,14.3,7.1,28.8
156,堡林,2021-08-13,25.6,4,1.4,90,11.44,9.3,27.8
156,堡林,2021-08-14,24.3,12.8,1.3,88.9,15.5,7.9,26.9
156,堡林,2021-08-15,24.7,13.7,.8,87.5,16.53,7.3,28.6
156,堡林,2021-08-16,25.7,,1.4,79.5,,4.6,27.6
156,堡林,2021-08-17,25.5,17.2,1.6,73.9,24.47,7,28.5
156,堡林,2021-08-18,22.7,22.7,.9,93.4,13.72,6.9,25.5
156,堡林,2021-08-19,22.7,19.2,.7,90.6,15.44,6.4,26.4
156,堡林,2021-08-20,24.8,,1.4,84,21.48,3.1,26
156,堡林,2021-08-21,24.5,19.9,2.3,98,3.8,9,24.8
156,堡林,2021-08-22,25.8,,1.2,89.5,18.26,7.9,29.5
156,堡林,2021-08-23,24.1,30.6,1.2,98.8,0,9.9,25.4
156,堡林,2021-08-24,25.2,29.6,2.6,98.8,0,9.4,26
156,堡林,2021-08-25,25.2,10.7,1.4,97.9,8.42,9.8,27
156,堡林,2021-08-26,26.3,,1.1,82.4,21.14,5.9,28.4
156,堡林,2021-08-27,23.5,10.6,1.8,98.9,7.63,8.3,26
156,堡林,2021-08-28,25.1,0,1,84.3,19.74,6.1,27
156,堡林,2021-08-29,25.5,24.6,1.4,97.8,9.2,9.5,27.5
156,堡林,2021-08-30,25.5,1.9,.6,91,16.25,7.9,27
156,堡林,2021-08-31,26.5,,1.5,89.5,18.43,7,30.1
156,堡林,2021-09-01,24.5,45.7,1.8,97.4,5.5,9.4,25.2
156,堡林,2021-09-02,21.6,3.4,.9,98.4,5.69,9.5,23.9
156,堡林,2021-09-03,22.4,1.3,1.5,94.1,14.17,8.8,24.8
156,堡林,2021-09-04,23.4,0,1,88.6,13.17,8.8,25.5
156,堡林,2021-09-05,21.6,1.1,1.4,91.1,5.99,10,23.3
156,堡林,2021-09-06,21.2,2.1,1.7,93.3,6.07,9.9,22.7
156,堡林,2021-09-07,22.4,2.4,1.4,94.4,6.73,9.3,23.7
156,堡林,2021-09-08,22.7,0,.9,84.4,19.76,5.9,25.4
156,堡林,2021-09-09,23.1,,.7,84.5,16.68,7.8,25.7
156,堡林,2021-09-10,23.1,0,.6,93,7.33,8.5,24.3
156,堡林,2021-09-11,24.9,,.6,83.9,20.67,2.9,27.5
156,堡林,2021-09-12,24.8,,1.1,83.3,18.2,7,27.8
156,堡林,2021-09-13,24.2,,1.8,69.8,15.62,8.8,26.5
156,堡林,2021-09-14,22.5,2.5,3.2,85.1,7.06,9.3,23.7
156,堡林,2021-09-15,24.1,,3.2,64.1,22.98,5,28
156,堡林,2021-09-16,21.3,2,2.5,82.5,9.8,7.8,22.7
156,堡林,2021-09-17,23.2,3.2,3,86.5,15.23,7.6,25.6
156,堡林,2021-09-18,23.3,,1,81.8,13.75,7.1,24.7
156,堡林,2021-09-19,23.5,,1.2,77.1,17.94,4,24.8
156,堡林,2021-09-20,23.9,,2,78.6,21.96,4.6,27.3
156,堡林,2021-09-21,22.5,32,2.4,92.9,11.06,6.4,24.2
156,堡林,2021-09-22,23.2,1.9,1.4,84.8,18.2,3.3,25.9
156,堡林,2021-09-23,21.5,,1.1,72.6,21.43,2.9,23.5
156,堡林,2021-09-24,20.9,,.8,76.6,19.35,3.6,23.8
156,堡林,2021-09-25,21.9,,1.6,79.8,15.58,6.5,23.3
156,堡林,2021-09-26,22.2,0,1.3,78,13.07,8.4,24.6
156,堡林,2021-09-27,23,0,1.4,73.8,12.17,8.4,24.8
156,堡林,2021-09-28,22.7,.3,1.1,83.8,10.69,9.1,25.5
156,堡林,2021-09-29,22.7,31.2,1.1,97.8,3.32,9.8,24.4
156,堡林,2021-09-30,23.5,2,,67.9,,1.5,
156,堡林,2021-10-01,22,,,88,11.15,2.5,24.4
156,堡林,2021-10-02,22.8,,.7,84.1,13.76,1.1,23.9
156,堡林,2021-10-03,23.7,,1.7,77.8,20.29,2.5,24.6
156,堡林,2021-10-04,25.5,,2.5,83,17.12,5.1,26.8
156,堡林,2021-10-05,24.4,,.9,84.1,18.9,2.3,26.4
156,堡林,2021-10-06,23.9,,1,81.5,20.81,2.6,25.4
156,堡林,2021-10-07,22.2,,.9,91.8,10.76,3.9,22.6
156,堡林,2021-10-08,22.3,0,1.2,93.3,10.27,8.5,24.2
156,堡林,2021-10-09,24.7,,1.1,80.4,16.77,5.5,25.9
156,堡林,2021-10-10,24.1,2.1,1.2,90.6,12.74,6.8,25.7
156,堡林,2021-10-11,15.9,9.9,1.9,98.8,4.91,10,20.3
156,堡林,2021-10-12,17.4,5.9,1.6,98.9,3.81,10,19.9
156,堡林,2021-10-13,20.1,,1.3,90.6,10.16,8.4,21.7
156,堡林,2021-10-14,21.8,,1,85.4,14.09,5.1,22.3
156,堡林,2021-10-15,19.4,12.3,1.4,88,10.14,8.4,21.4
156,堡林,2021-10-16,13.6,4.3,2.6,70.8,6.75,9.5,17.2
156,堡林,2021-10-17,8.2,,2.7,43,20.19,1.3,12.4
156,堡林,2021-10-18,11.4,,1.3,53.1,19.2,3,13.3
156,堡林,2021-10-19,11.9,.8,.9,77.8,11.65,6,13.7
156,堡林,2021-10-20,10.5,,1.3,64,13.02,7.3,12.2
156,堡林,2021-10-21,11.3,,.8,71.3,17.83,4.5,13.4
156,堡林,2021-10-22,11.6,,1.4,61.1,17.73,.1,12.6
156,堡林,2021-10-23,12.6,,.7,59.4,18.25,0,13.5
156,堡林,2021-10-24,13,,.6,62.5,15.96,5,13.7
156,堡林,2021-10-25,13.1,,.8,70.8,17.03,1.3,14.3
156,堡林,2021-10-26,13.6,,.7,69.1,16.37,3.6,14.2
156,堡林,2021-10-27,14.1,,.8,71.6,15.61,1.4,15.3
156,堡林,2021-10-28,13.8,,.7,61.8,17.39,.8,13.9
156,堡林,2021-10-29,15.1,,.9,66.4,14.71,4,14.7
156,堡林,2021-10-30,13.9,,.6,75.9,6.63,5.6,14.2
156,堡林,2021-10-31,14.7,,.5,75.6,15.7,1.6,14.8
156,堡林,2021-11-01,14.5,,.6,80,13.22,3.4,15.3
156,堡林,2021-11-02,12.1,,.8,79,12.29,3.5,13.3
156,堡林,2021-11-03,12.2,,.7,72.4,14.77,4.1,12.9
156,堡林,2021-11-04,13.9,.4,.5,78.5,14.78,2.3,14.1
156,堡林,2021-11-05,13.7,,.7,72.9,10.83,5.1,12.9
156,堡林,2021-11-06,15.7,,1.7,58.5,14.78,1.6,14.5
156,堡林,2021-11-07,16.6,,1.7,61.4,14.6,3.8,14.9
156,堡林,2021-11-08,11.6,21.2,2.3,82.1,4.73,9.1,12.9
156,堡林,2021-11-09,8.4,.5,2.5,79.1,5.36,9.4,10.1
156,堡林,2021-11-10,7.8,20.6,1.8,94.4,4.73,10,8.9
156,堡林,2021-11-11,8.1,7.3,.8,94.9,5.4,8.5,9.7
156,堡林,2021-11-12,7,2.2,.9,90.4,9.13,5.8,8.4
156,堡林,2021-11-13,9.1,0,.6,85.9,11.1,4.3,9.2
156,堡林,2021-11-14,10.3,,.5,83.5,10.63,2.9,9.1
156,堡林,2021-11-15,10.8,,.5,82.9,12.34,2.9,9.6
156,堡林,2021-11-16,10.6,,.6,69.8,12.26,3.1,9.5
156,堡林,2021-11-17,9.5,,.6,72.3,13.58,3.1,8.7
156,堡林,2021-11-18,10.5,,.6,79.1,12.86,2.1,9.7
156,堡林,2021-11-19,11.5,,.4,87.1,12.1,2.3,10.1
156,堡林,2021-11-20,10.9,,.4,91.8,10.44,4.9,10.7
156,堡林,2021-11-21,12.3,,.5,91.4,5.23,8.5,11
156,堡林,2021-11-22,7.3,1.9,1.5,73.6,6.92,7.9,8.7
